,batter_id,batter,age,season,level,bats,throws,bat_speed,bat_to_ball,swing_decision,attack_angle,n_pa
5831,687019,Alvarez_Andres,26,2023,AA,R,L,-0.126897389,-0.844036307,-0.666353770,-1.319394376,89
5832,687019,Alvarez_Andres,26,2023,AA,R,R,-0.126897389,-0.037605917,-1.492009742,-1.319394376,289
5833,687020,Auer_Mason,22,2023,AA,R,L,0.449908925,-2.274561046,0.352409495,-0.356885364,142
5834,687020,Auer_Mason,22,2023,AA,R,R,0.449908925,-1.508119828,0.092415166,-0.356885364,370
5835,687035,Arias_Bryan,26,2023,AA,R,L,1.488160291,-1.712918094,3.941324953,0.360490267,11
5836,687035,Arias_Bryan,26,2023,AA,R,R,1.488160291,-0.224230786,0.196026189,0.360490267,71
5837,687035,Arias_Bryan,26,2023,AAA,R,L,,-12.853529551,-0.297209653,,1
5838,687035,Arias_Bryan,26,2023,AAA,R,R,1.514473684,0.983060489,3.717804173,0.247116969,8
5839,687035,Arias_Bryan,26,2023,Rk,R,L,2.318733509,-1.126549775,-4.657290667,0.284313725,5
5840,687035,Arias_Bryan,26,2023,Rk,R,R,2.318733509,2.899186421,-3.863783492,0.284313725,35
5841,687036,Zubia_Zach,25,2023,A+,R,L,0.832451499,0.371597172,1.278687841,1.048030408,80
5842,687036,Zubia_Zach,25,2023,A+,R,R,0.832451499,-0.003780150,0.645449400,1.048030408,202
5843,687039,LaRue_Nate,22,2023,AA,R,L,,-12.599761728,-8.180550082,,1
5844,687039,LaRue_Nate,22,2023,AA,R,R,-1.395871281,-7.208509804,1.641937603,0.710165826,2
5845,687039,LaRue_Nate,22,2023,Rk,R,L,-0.187862797,1.256516907,2.058573333,0.581495098,4
5846,687039,LaRue_Nate,22,2023,Rk,R,R,-0.187862797,0.918405199,-5.998115556,0.581495098,23
5847,687044,Yake_Ernie,25,2023,A+,L,L,-2.159905938,-0.119930454,1.247547945,-0.085348998,19
5848,687044,Yake_Ernie,25,2023,A+,L,R,-2.159905938,1.127160297,0.910962193,-0.085348998,60
5849,687044,Yake_Ernie,25,2023,AA,L,L,-2.470552520,0.740585186,-0.688201224,-0.191059841,14
5850,687044,Yake_Ernie,25,2023,AA,L,R,-2.470552520,1.267811226,-1.300384623,-0.191059841,59
5851,687044,Yake_Ernie,25,2023,AAA,L,L,-2.775000000,0.906505498,-3.565972851,-0.383031301,8
5852,687044,Yake_Ernie,25,2023,AAA,L,R,-2.775000000,0.541224149,1.356517787,-0.383031301,31
5853,687066,Yang_Eric,25,2023,AA,R,L,-0.873709775,1.756372609,0.382214804,0.818312906,18
5854,687066,Yang_Eric,25,2023,AA,R,R,-0.873709775,0.665180860,0.859121432,0.818312906,54
5855,687066,Yang_Eric,25,2023,AAA,R,L,-1.044736842,-0.669395990,0.080717860,0.770181219,23
5856,687066,Yang_Eric,25,2023,AAA,R,R,-1.044736842,-0.294971794,-0.020034111,0.770181219,38
5857,687069,Rivera_Josh,22,2023,A+,R,L,0.961787184,-1.293564825,0.924285986,-0.696959226,17
5858,687069,Rivera_Josh,22,2023,A+,R,R,0.961787184,-0.816010096,0.817884366,-0.696959226,85
5859,687069,Rivera_Josh,22,2023,Rk,R,L,1.680211082,2.380205722,4.648480000,-0.726715686,1
5860,687069,Rivera_Josh,22,2023,Rk,R,R,1.680211082,0.223267557,3.895253333,-0.726715686,10
5861,687071,Sasaki_Shane,23,2023,A+,R,L,-0.143445032,0.221291335,0.536785328,0.153075328,37
5862,687071,Sasaki_Shane,23,2023,A+,R,R,-0.143445032,0.291621432,0.500319660,0.153075328,241
5863,687071,Sasaki_Shane,23,2023,Rk,R,L,0.688126649,-0.166373847,2.145077333,0.026960784,4
5864,687071,Sasaki_Shane,23,2023,Rk,R,R,0.688126649,-0.736503902,-1.086199111,0.026960784,12
5865,687072,Baylor_Jamari,23,2023,A,R,L,1.101499423,-1.483816195,3.072211407,0.206907579,33
5866,687072,Baylor_Jamari,23,2023,A,R,R,1.101499423,-0.777519456,2.263963186,0.206907579,96
5867,687072,Baylor_Jamari,23,2023,A+,R,L,0.803057025,-2.288958918,2.639120395,0.108154803,27
