play_id,game_pk,pitcher_id,pitcher_name,is_strike,bats,throws,location_x,location_z
6bc52b0b-d313-4c96-90f2-c3df87d50154,718652,592836,Walker_Taijuan,1,R,R,0.478,2.017
1ab1e89e-911a-4eae-9ec6-7c7858392ed3,717806,592836,Walker_Taijuan,0,R,R,-0.359,-0.035
7bcc889b-ea14-4444-8cbd-c60434299379,717934,592836,Walker_Taijuan,1,L,R,0.563,2.157
638b57e8-dec2-44aa-aa8f-831633fa0dcb,717028,592836,Walker_Taijuan,0,L,R,-0.981,3.553
997e4874-58eb-4b09-8cb1-b6f3fb7d6d5c,717656,592836,Walker_Taijuan,1,R,R,-0.103,1.877
d0b8741d-5fc5-4eba-8250-477efdc47a1d,718202,592836,Walker_Taijuan,0,R,R,0.252,0.48
f5bd1488-4739-4715-99aa-ec3b32944b8f,716899,592836,Walker_Taijuan,0,R,R,-0.248,1.177
03853145-a829-447f-9bc7-6fc7263c3177,717735,592836,Walker_Taijuan,1,L,R,0.702,3.141
3daeb8c5-277b-4cdb-8646-d4ccf49ceffe,717189,592836,Walker_Taijuan,1,R,R,0.347,2.666
f33b1f54-3990-4de3-a218-b0590d44ecf7,718343,592836,Walker_Taijuan,0,R,R,-0.572,3.659
133dc480-97ad-4b61-ae6f-e0bfd378b773,716481,592836,Walker_Taijuan,1,L,R,-0.234,3.612
4cb1c73b-77c2-4e4d-84c4-629970a450da,718652,592836,Walker_Taijuan,1,L,R,-0.477,2.84
e122f6d2-579b-46e0-bebd-cbf9324b060e,718725,592836,Walker_Taijuan,1,R,R,0.33,2.723
6829371c-2a0f-4281-a3c1-125b1a4e0736,718019,592836,Walker_Taijuan,0,L,R,1.037,0.901
f1dfd38e-62f3-4a38-90c9-b02c35d5838b,717329,592836,Walker_Taijuan,0,R,R,1.442,0.738
8040a72f-d49f-4ac7-83e1-d8be6c5b3edd,716376,592836,Walker_Taijuan,1,L,R,-0.657,2.76
d0ad88bd-ebe4-46fa-9041-643f3ffda4d2,717189,592836,Walker_Taijuan,1,L,R,-0.226,1.295
bc7f0524-4aaf-4ba2-9e12-49ae3b729a76,717567,592836,Walker_Taijuan,1,L,R,0.544,2.006
5395c7f7-433f-49ab-993d-a45584abb27c,717806,592836,Walker_Taijuan,1,L,R,0.324,2.578
c10acb69-33ae-4935-97af-56c4bc66c67c,717735,592836,Walker_Taijuan,0,L,R,0.947,2.158
7ccbb5bf-838f-42f1-abf4-60d7905fa228,718652,592836,Walker_Taijuan,0,R,R,1.968,1.256
e0184652-6680-4ec2-b947-4a626c9e055c,717267,592836,Walker_Taijuan,0,R,R,1.561,1.739
31da1f85-4537-4150-999f-63deec2758c7,717875,592836,Walker_Taijuan,0,R,R,0.179,0.113
19d7a860-e8fa-4ac1-a9ab-144bf23c3dde,717113,592836,Walker_Taijuan,0,R,R,0.445,1.465
7b3596a6-4ba5-4049-8614-080e7be8bea8,717934,592836,Walker_Taijuan,0,L,R,-1.556,3.093
b546d44c-5417-4270-ae5e-987b253a58f5,718343,592836,Walker_Taijuan,0,L,R,1.01,2.811
ed5036ce-983c-4719-b77a-0646ca6eb685,718586,592836,Walker_Taijuan,0,R,R,0.69,1.234
cee5c40e-fe42-4e47-955c-afb371c726dc,718415,592836,Walker_Taijuan,0,R,R,-0.542,0.616
57f2d767-c401-4a4e-9644-99740ece0a82,718510,592836,Walker_Taijuan,0,R,R,1.093,2.905
817a0523-cc66-4ce2-8f58-c525f65407b0,717735,592836,Walker_Taijuan,1,R,R,-0.095,3.179
74ef9cb5-31d9-4775-b59d-2b8ecb2bfea8,718270,592836,Walker_Taijuan,1,L,R,-0.702,1.352
be69e4ce-8ab0-41d5-b20d-5db97f0a969a,717567,592836,Walker_Taijuan,1,L,R,-0.833,2.591
8ac06023-f2b5-4862-ae61-b3c91fe59419,717397,592836,Walker_Taijuan,0,R,R,-1.745,2.633
9a0a8bc9-2326-440b-aa8e-95924a2dab5d,718415,592836,Walker_Taijuan,0,R,R,-1.998,1.587
ffd8e095-eddc-43b6-9ada-17bc8493a662,716481,592836,Walker_Taijuan,0,L,R,-0.953,2.657
164c757f-3c09-439a-b883-a74078bd74d9,716899,592836,Walker_Taijuan,0,L,R,0.52,0.772
25839d4b-8450-42c1-bdfe-22bcfd211371,717735,592836,Walker_Taijuan,0,L,R,-0.997,1.408
0e47cae1-ea5b-4f0b-9469-edc23c938f7b,717875,592836,Walker_Taijuan,1,R,R,0.519,3.024
15eb21a3-39a8-49e0-b86f-6a46baac39d6,718586,592836,Walker_Taijuan,0,R,R,0.5,1.456
c8d77b17-9fdc-43ef-8e38-3154e2c96a81,717934,592836,Walker_Taijuan,0,L,R,-0.565,0.817
a727f3ec-bd60-466e-96ee-a9d72677db83,716376,592836,Walker_Taijuan,0,L,R,-2.102,3.458
8109daa2-5391-4651-b6a2-271556a1e5bf,717806,592836,Walker_Taijuan,1,R,R,-0.428,2.654
169a7999-3511-4404-970a-8c8011d5de51,716899,592836,Walker_Taijuan,1,L,R,0.735,2.993
e0781eeb-a148-4d3b-b428-c6cbe632da1c,717656,592836,Walker_Taijuan,1,R,R,-0.03,2.476
d1d8f084-933f-476e-924c-f56c40c7d52a,717329,592836,Walker_Taijuan,0,R,R,-0.59,1.331
d1fd977b-c030-4e78-b0db-83372dcc6801,716720,592836,Walker_Taijuan,0,R,R,0.914,0.969
93a4c528-96bc-4a51-ba44-4dd16db2e420,717329,592836,Walker_Taijuan,1,R,R,0.268,2.517
84f17bfe-6f26-4a50-a9ba-e6e0219838bb,717934,592836,Walker_Taijuan,0,L,R,-0.033,1.078
4894a894-5c19-4138-bc7e-298b93623012,718725,592836,Walker_Taijuan,1,R,R,-0.817,1.722
ec667bb7-61f3-4ca2-84ac-806d486b3473,718510,592836,Walker_Taijuan,0,R,R,1.064,1.986
1ec7d5ed-a26a-438c-8b1b-cfc99f7539d4,717267,592836,Walker_Taijuan,0,L,R,2.217,1.937
430f6339-9bf6-4fa8-b675-b9d1e853f4e2,717267,592836,Walker_Taijuan,1,L,R,-0.492,2.205
b67b2148-7630-476f-b72e-567d9da64d23,718270,592836,Walker_Taijuan,0,L,R,-0.747,1.029
d09b811f-6387-463b-8125-1ae1a4494131,717113,592836,Walker_Taijuan,1,L,R,-0.328,2.529
9c6fef65-8566-4da6-aec1-96932a8440cf,717875,592836,Walker_Taijuan,0,L,R,0.944,1.349
fdaeb2b6-563d-486e-aec1-02cc96167915,717267,592836,Walker_Taijuan,1,L,R,0.053,1.905
ce0f264b-ef98-4d1a-9437-2d0a26106ed7,716817,592836,Walker_Taijuan,0,L,R,-1.041,1.31
e9281beb-b110-451b-9dc7-af684a126fe7,716541,592836,Walker_Taijuan,0,R,R,-1.409,2.346
b3d8057e-b123-408c-a58e-082ef480fd89,716541,592836,Walker_Taijuan,0,L,R,0.029,0.716
a46eb037-9d9c-41ff-8cf7-46719b0c6a4e,717113,592836,Walker_Taijuan,1,R,R,0.704,2.409
b73177b3-f6ed-4430-aae3-2d97ccbb3517,717664,592836,Walker_Taijuan,0,R,R,0.778,1.239
fe154835-3fb9-48d2-bec1-88c9fc29cca7,716899,592836,Walker_Taijuan,0,R,R,1.063,0.951
5d15ce8a-a16c-46c3-90ca-c133157d3567,717329,592836,Walker_Taijuan,0,R,R,1.225,3.287
738c229e-7c8a-479a-a0f2-dd13f0ec8ae7,717567,592836,Walker_Taijuan,0,L,R,1.148,2.187
039ca310-9a18-41a9-9d62-b4afed5d49dd,717567,592836,Walker_Taijuan,0,L,R,-2.019,2.412
b7c29b2a-91fb-415b-adff-20a512737620,718270,592836,Walker_Taijuan,0,L,R,0.812,1.144
7485585d-616a-4159-949f-1ba520562f88,716817,592836,Walker_Taijuan,0,L,R,-1.629,3.153
74e7a75e-ef0e-4acc-9856-cead052b685a,717028,592836,Walker_Taijuan,0,R,R,-0.207,0.939
